feature,class_label
"[-59.819767  114.6517    -53.743755   40.23097   -39.632656   27.280062
 -37.3671      5.6405683 -27.517206   11.014844  -21.069847    2.4518425]",1
"[-136.07928    149.9561     -47.791523    61.043053   -10.1661415
   38.533073    -8.860778    18.22707     -8.326163    13.6673565
   -9.358699     6.764114 ]",1
"[-46.647675  136.6011    -57.55986    37.699852  -29.511799   27.416142
 -25.634413   12.9415045 -23.224554    2.460483  -18.425718   -3.6886992]",1
"[-45.903553   129.05103    -64.91029     24.28765    -41.476135
  24.078505   -38.08725      5.5585265  -36.876225     1.3316597
 -21.03113      0.94348973]",1
"[-142.56331    234.42688    -14.220307    24.019638    -0.3231196
    7.327273     4.4103003  -21.148985    -1.694298     0.6707704
    4.0597854    2.357833 ]",1
"[-68.933784  128.04677   -40.964245   34.31994   -36.32032    23.54875
 -23.05839    15.679836  -29.876886    4.2246385 -15.384774    2.1714242]",1
"[-114.23305    174.158      -32.013515    45.980724    -9.034052
   20.605879   -12.99357      5.359214   -20.634546    -5.740978
  -13.595011    -7.4028506]",1
"[-141.19339    173.17801    -44.41587     70.76395    -10.485683
   10.566557    -1.1743742    5.955993   -22.87231     -5.6571918
   -9.637301    -2.2253616]",1
"[-188.54474    185.01813    -40.75215     57.61782     17.33829
    5.3981657   14.558131     2.036089   -10.554243    -4.5408463
   -6.3408866   -9.142283 ]",1
"[-279.63788    128.37148     -7.2356353   35.942467    -9.00946
   34.398308    -8.362397    28.54261     -7.5359573   16.87707
    3.339542     4.190488 ]",2
"[-58.309975  157.16791   -58.999954   22.045656  -21.71964    34.206062
 -12.766829    7.3490734 -15.867732    2.6899555  -8.176537  -10.393871 ]",2
"[  2.2234163 135.86046   -97.06278    27.57034   -33.87756    38.832436
 -23.068485   11.581     -13.542775    0.9983017  -5.959874   -5.221706 ]",2
"[-42.181553  134.82014   -81.6641     20.14647   -39.81927    38.398758
 -21.982567   14.141687  -11.432927   -1.2860879  -9.561838   -6.7995977]",2
"[-85.0789    140.12192   -61.69213    25.032366  -29.652239   36.101887
 -16.129236    9.158978  -15.304237   -1.9793632 -11.101301   -7.540277 ]",2
"[-281.5698     237.68878     -4.257896    -3.9453785   13.703705
    2.6911366  -12.95924     -5.6811423   -3.9628553   -9.089512
    1.1581528   -5.9903736]",2
"[-348.6583    199.15117   -26.362741  -13.766264   16.995409  -13.313711
  -22.691996   -3.726038  -10.130191  -19.8376    -10.540527   -9.662248]",2
"[-316.90045    224.00577     -7.1348114    1.1682469   14.235707
    4.378188   -13.485558    -1.776607    -2.1518867   -9.378913
    2.6363652   -5.5273337]",2
"[-258.77374     239.32607     -14.59271       7.464239      3.1819496
    7.331034    -12.436168     -1.2274654    -2.5057905    -0.52673703
    8.507527     -5.683091  ]",2
"[-294.4483     230.76025    -36.36936    -21.637217     8.026577
  -13.627848   -16.248491     3.6156638   -4.037555   -10.702961
   -6.774508   -11.528808 ]",2
"[-263.82352    214.8315     -28.744776    -3.273071    19.400478
  -18.875257   -19.845812    -1.5497572   -4.7113013  -10.08891
   -5.1718307   -7.2281137]",2
"[-272.1373     237.51274    -21.16879    -15.857025    13.6157055
   -9.245348   -17.949072    -4.3092756   -6.1783104  -13.015343
   -2.1431928   -7.1869335]",2
"[-323.88177    205.83871    -24.854242   -18.526428    13.911273
  -12.347408   -23.718716    -5.320368   -11.560872   -19.306396
   -7.2886868   -8.749421 ]",2
"[-2.8670648e+02  2.2713896e+02 -3.1289103e+01 -9.9601240e+00
  2.0219650e+01 -1.1064437e+01 -1.7502117e+01 -1.2871532e+00
 -5.0095186e+00 -9.5911169e+00 -1.9621076e-01 -9.6094522e+00]",2
"[-3.1794373e+02  2.4248148e+02 -6.9629488e+00 -1.5417830e+01
  5.7184181e+00 -4.0494571e+00 -1.3232501e+01 -2.3480995e+00
 -3.8713992e-01 -7.5250449e+00  1.7155156e-01 -4.6694207e+00]",2
"[-325.60397    223.29454    -35.54496    -29.60805      8.453212
  -18.342485   -24.724522    -5.8104773  -13.509094   -23.865097
  -10.453236    -9.727792 ]",2
"[-348.7737     232.17708    -29.916973   -18.187645    18.156664
  -19.661688   -21.421553     2.137771    -2.8352873  -10.823919
   -5.654566    -4.528732 ]",2
"[-265.9954     227.35258    -18.524147   -11.478605    21.905447
  -11.704634   -16.07658      1.116841    -3.6036618   -8.823363
   -0.7624169   -5.1908164]",2
"[-263.60672    241.08202    -13.010678     6.480547     5.019738
    1.718426    -9.604207    -2.850126    -0.7634303   -5.365974
    4.767476    -8.054183 ]",2
"[-302.48444    228.02095    -23.116354   -41.309917    11.240529
  -10.271319   -19.366087     1.8751144   -3.5908842  -13.202926
   -5.061575    -6.0514727]",2
"[-305.81927    220.9214     -16.403324    -7.291794    10.17713
   -6.4521894  -10.369295    -3.0287962   -6.179063    -9.684553
   -1.7773942   -8.893444 ]",2
"[-257.67972    244.2231     -14.647973     7.9765577    2.6458554
    7.2022257  -12.520504    -2.39956      1.3127532  -11.651291
    6.307551    -3.6615207]",2
"[-321.74985    210.53615    -45.873936   -22.96468     16.437185
  -20.786234   -23.923035    -3.0142117  -10.811491   -19.418644
   -7.967132    -8.479355 ]",2
"[-3.3110904e+02  2.0948941e+02 -1.1902994e+01  1.1378058e+00
  1.5204553e+01 -5.0445962e+00 -1.1551219e+01 -1.5571692e+01
 -1.2973404e+01 -4.7494779e+00  2.2690864e-01 -3.4410963e+00]",2
"[-274.79892    187.41965     -1.716824    25.333319    -6.9904146
    2.5457115  -18.549358   -15.151562   -23.68306    -11.491645
   -2.9771335   -4.415314 ]",2
"[-358.2711     153.39726     65.63853     60.53545     16.688368
   28.827301    -7.6636515   18.740421   -16.496586     6.927602
  -15.37238      3.2356653]",2
"[-318.991      230.04657    -34.520214   -19.68834     15.630333
  -13.330234   -11.561598     7.150048    -4.383037   -12.435672
   -4.5880265   -4.596424 ]",2
"[-3.2230234e+02  2.2891716e+02 -9.0528965e+00  3.4128883e+00
  2.0187918e+01 -1.0681617e+01 -9.9211950e+00  3.5042508e+00
 -1.2053566e-01 -9.1647406e+00 -5.1566310e+00 -5.3255382e+00]",2
"[-2.9112677e+02  2.3441280e+02  3.0922766e+00  2.6727650e-01
  1.3446706e+01 -1.7117056e+00 -9.9560604e+00 -6.2280850e+00
 -4.5649815e+00 -6.8186116e+00  4.0324330e+00 -3.9437077e+00]",2
"[-127.455574   146.61494    -44.650536    30.430717   -21.540274
   31.37714     -9.933038    16.505014   -13.256457     6.7499094
   -7.710846    -5.2424073]",2
"[-93.16215  148.36714  -41.281715  38.28674  -19.10713   35.878986
 -11.118122  20.190569 -15.576553  12.592524  -8.683391  -6.05392 ]",2
"[  4.7472067 146.24017   -91.59411    26.689766  -24.486519   36.23722
 -19.523588    7.6420856 -13.175229    4.1152253  -3.4371955  -6.588577 ]",2
"[-29.100925  131.05164   -93.64029    22.418156  -40.514343   40.487663
 -23.567822   14.484452  -13.625314   -2.1790977  -8.582184   -6.609916 ]",2
"[-101.879196   119.52877    -35.586426    65.35586    -20.582573
   47.571033    -4.669484    33.110153   -19.22795     28.36921
   -3.5164733   -3.2498436]",2
"[-287.52353    216.6904     -31.546255    -3.6497347   16.109673
  -12.124073   -16.866581    -1.6276193   -7.3412733  -13.440902
   -5.3151283  -13.2104845]",2
"[-320.2056     151.73268    -51.74264     31.615133    30.71343
   25.936132     4.871422    13.445437     3.5090592    9.525546
   16.20738     10.543971 ]",2
